frame,archive_link,domain
5,https://web.archive.org/web/20130809124522/http://GLI.TC/H/olia/summer/,GLI.TC
12,https://web.archive.org/web/20130809063951/http://shorttermmemoryloss.com/olia/summer/,shorttermmemoryloss.com
15,https://web.archive.org/web/20130809060211/http://benfinoradin.info/olia/summer/,benfinoradin.info
17,https://web.archive.org/web/20130810052744/http://www.faithholland.com/olia/summer/,www.faithholland.com
17,https://web.archive.org/web/20130809094219/http://fernandoalfonso.com/olia/summer/,fernandoalfonso.com
